# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   26.27627628    0.01625994
   26.31631632    0.01590193
   26.35635636    0.01554643
   26.39639640    0.01519495
   26.43643644    0.01484879
   26.47647648    0.01450905
   26.51651652    0.01417669
   26.55655656    0.01385251
   26.59659660    0.01353717
   26.63663664    0.01323119
   26.67667668    0.01293496
   26.71671672    0.01264876
   26.75675676    0.01237276
   26.79679680    0.01210707
   26.83683684    0.01185172
   26.87687688    0.01160673
   26.91691692    0.01137206
   26.95695696    0.01114768
   26.99699700    0.01093352
   27.03703704    0.01072949
   27.07707708    0.01053550
   27.11711712    0.01035143
   27.15715716    0.01017716
   27.19719720    0.01001252
   27.23723724    0.00985735
   27.27727728    0.00971148
   27.31731732    0.00957469
   27.35735736    0.00944676
   27.39739740    0.00932748
   27.43743744    0.00921659
   27.47747748    0.00911386
   27.51751752    0.00901902
   27.55755756    0.00893182
   27.59759760    0.00885200
   27.63763764    0.00877930
   27.67767768    0.00871348
   27.71771772    0.00865429
   27.75775776    0.00860150
   27.79779780    0.00855488
   27.83783784    0.00851422
   27.87787788    0.00847930
   27.91791792    0.00844992
   27.95795796    0.00842586
   27.99799800    0.00840691
   28.03803804    0.00839283
   28.07807808    0.00838336
   28.11811812    0.00837821
   28.15815816    0.00837709
   28.19819820    0.00837965
   28.23823824    0.00838551
   28.27827828    0.00839428
   28.31831832    0.00840553
   28.35835836    0.00841882
   28.39839840    0.00843366
   28.43843844    0.00844958
   28.47847848    0.00846611
   28.51851852    0.00848277
   28.55855856    0.00849908
   28.59859860    0.00851459
   28.63863864    0.00852887
   28.67867868    0.00854156
   28.71871872    0.00855233
   28.75875876    0.00856096
   28.79879880    0.00856734
   28.83883884    0.00857147
   28.87887888    0.00857349
   28.91891892    0.00857369
   28.95895896    0.00857247
   28.99899900    0.00857039
   29.03903904    0.00856809
   29.07907908    0.00856635
   29.11911912    0.00856600
   29.15915916    0.00856793
   29.19919920    0.00857307
   29.23923924    0.00858235
   29.27927928    0.00859671
   29.31931932    0.00861706
   29.35935936    0.00864426
   29.39939940    0.00867914
   29.43943944    0.00872245
   29.47947948    0.00877491
   29.51951952    0.00883714
   29.55955956    0.00890969
   29.59959960    0.00899302
   29.63963964    0.00908751
   29.67967968    0.00919342
   29.71971972    0.00931090
   29.75975976    0.00944000
   29.79979980    0.00958062
   29.83983984    0.00973257
   29.87987988    0.00989550
   29.91991992    0.01006899
   29.95995996    0.01025249
   30.00000000    0.01044537
