# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   25.07507508    0.01527327
   25.11511512    0.01542381
   25.15515516    0.01557536
   25.19519520    0.01572675
   25.23523524    0.01587655
   25.27527528    0.01602289
   25.31531532    0.01616344
   25.35535536    0.01629525
   25.39539540    0.01641471
   25.43543544    0.01651757
   25.47547548    0.01659902
   25.51551552    0.01665390
   25.55555556    0.01667702
   25.59559560    0.01666360
   25.63563564    0.01660976
   25.67567568    0.01651299
   25.71571572    0.01637250
   25.75575576    0.01618944
   25.79579580    0.01596681
   25.83583584    0.01570924
   25.87587588    0.01542249
   25.91591592    0.01511290
   25.95595596    0.01478674
   25.99599600    0.01444977
   26.03603604    0.01410674
   26.07607608    0.01376129
   26.11611612    0.01341587
   26.15615616    0.01307187
   26.19619620    0.01272986
   26.23623624    0.01238990
   26.27627628    0.01205177
   26.31631632    0.01171525
   26.35635636    0.01138036
   26.39639640    0.01104746
   26.43643644    0.01071732
   26.47647648    0.01039112
   26.51651652    0.01007032
   26.55655656    0.00975661
   26.59659660    0.00945171
   26.63663664    0.00915725
   26.67667668    0.00887471
   26.71671672    0.00860530
   26.75675676    0.00834994
   26.79679680    0.00810930
   26.83683684    0.00788376
   26.87687688    0.00767347
   26.91691692    0.00747840
   26.95695696    0.00729834
   26.99699700    0.00713297
   27.03703704    0.00698188
   27.07707708    0.00684460
   27.11711712    0.00672061
   27.15715716    0.00660937
   27.19719720    0.00651034
   27.23723724    0.00642296
   27.27727728    0.00634669
   27.31731732    0.00628098
   27.35735736    0.00622531
   27.39739740    0.00617915
   27.43743744    0.00614195
   27.47747748    0.00611319
   27.51751752    0.00609231
   27.55755756    0.00607876
   27.59759760    0.00607193
   27.63763764    0.00607123
   27.67767768    0.00607604
   27.71771772    0.00608572
   27.75775776    0.00609965
   27.79779780    0.00611723
   27.83783784    0.00613784
   27.87787788    0.00616095
   27.91791792    0.00618604
   27.95795796    0.00621265
   27.99799800    0.00624038
   28.03803804    0.00626889
   28.07807808    0.00629794
   28.11811812    0.00632733
   28.15815816    0.00635696
   28.19819820    0.00638681
   28.23823824    0.00641690
   28.27827828    0.00644729
   28.31831832    0.00647805
   28.35835836    0.00650922
   28.39839840    0.00654079
   28.43843844    0.00657267
   28.47847848    0.00660464
   28.51851852    0.00663637
   28.55855856    0.00666741
   28.59859860    0.00669716
   28.63863864    0.00672487
   28.67867868    0.00674972
   28.71871872    0.00677081
   28.75875876    0.00678719
   28.79879880    0.00679798
   28.83883884    0.00680237
   28.87887888    0.00679969
   28.91891892    0.00678950
   28.95895896    0.00677155
   28.99899900    0.00674587
   29.03903904    0.00671270
   29.07907908    0.00667246
   29.11911912    0.00662577
   29.15915916    0.00657332
   29.19919920    0.00651586
   29.23923924    0.00645418
   29.27927928    0.00638903
   29.31931932    0.00632117
   29.35935936    0.00625128
   29.39939940    0.00618004
   29.43943944    0.00610808
   29.47947948    0.00603601
   29.51951952    0.00596441
   29.55955956    0.00589385
   29.59959960    0.00582486
   29.63963964    0.00575796
   29.67967968    0.00569361
   29.71971972    0.00563224
   29.75975976    0.00557420
   29.79979980    0.00551978
   29.83983984    0.00546919
   29.87987988    0.00542256
   29.91991992    0.00537995
   29.95995996    0.00534137
   30.00000000    0.00530676
