# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   21.39139139    0.03117930
   21.43143143    0.03182227
   21.47147147    0.03248116
   21.51151151    0.03315361
   21.55155155    0.03383679
   21.59159159    0.03452756
   21.63163163    0.03522273
   21.67167167    0.03591939
   21.71171171    0.03661512
   21.75175175    0.03730827
   21.79179179    0.03799803
   21.83183183    0.03868444
   21.87187187    0.03936827
   21.91191191    0.04005080
   21.95195195    0.04073347
   21.99199199    0.04141764
   22.03203203    0.04210432
   22.07207207    0.04279404
   22.11211211    0.04348677
   22.15215215    0.04418203
   22.19219219    0.04487907
   22.23223223    0.04557705
   22.27227227    0.04627527
   22.31231231    0.04697334
   22.35235235    0.04767125
   22.39239239    0.04836943
   22.43243243    0.04906863
   22.47247247    0.04976985
   22.51251251    0.05047418
   22.55255255    0.05118258
   22.59259259    0.05189572
   22.63263263    0.05261369
   22.67267267    0.05333575
   22.71271271    0.05406012
   22.75275275    0.05478376
   22.79279279    0.05550225
   22.83283283    0.05620976
   22.87287287    0.05689915
   22.91291291    0.05756215
   22.95295295    0.05818961
   22.99299299    0.05877184
   23.03303303    0.05929900
   23.07307307    0.05976144
   23.11311311    0.06015014
   23.15315315    0.06045707
   23.19319319    0.06067554
   23.23323323    0.06080059
   23.27327327    0.06082919
   23.31331331    0.06076057
   23.35335335    0.06059628
   23.39339339    0.06034032
   23.43343343    0.05999901
   23.47347347    0.05958073
   23.51351351    0.05909552
   23.55355355    0.05855448
   23.59359359    0.05796912
   23.63363363    0.05735071
   23.67367367    0.05670969
   23.71371371    0.05605521
   23.75375375    0.05539485
   23.79379379    0.05473446
   23.83383383    0.05407822
   23.87387387    0.05342876
   23.91391391    0.05278738
   23.95395395    0.05215437
   23.99399399    0.05152924
   24.03403403    0.05091102
   24.07407407    0.05029848
   24.11411411    0.04969025
   24.15415415    0.04908501
   24.19419419    0.04848150
   24.23423423    0.04787861
   24.27427427    0.04727538
   24.31431431    0.04667101
   24.35435435    0.04606497
   24.39439439    0.04545694
   24.43443443    0.04484689
   24.47447447    0.04423505
   24.51451451    0.04362188
   24.55455455    0.04300795
   24.59459459    0.04239384
   24.63463463    0.04177998
   24.67467467    0.04116648
   24.71471471    0.04055311
   24.75475475    0.03993923
   24.79479479    0.03932393
   24.83483483    0.03870615
   24.87487487    0.03808490
   24.91491491    0.03745947
   24.95495495    0.03682965
   24.99499499    0.03619584
   25.03503504    0.03555915
   25.07507508    0.03492135
   25.11511512    0.03428478
   25.15515516    0.03365231
   25.19519520    0.03302707
   25.23523524    0.03241240
   25.27527528    0.03181160
   25.31531532    0.03122785
   25.35535536    0.03066404
   25.39539540    0.03012267
   25.43543544    0.02960583
   25.47547548    0.02911509
   25.51551552    0.02865157
   25.55555556    0.02821592
   25.59559560    0.02780834
   25.63563564    0.02742860
   25.67567568    0.02707606
   25.71571572    0.02674963
   25.75575576    0.02644772
   25.79579580    0.02616814
   25.83583584    0.02590806
   25.87587588    0.02566389
   25.91591592    0.02543130
   25.95595596    0.02520528
   25.99599600    0.02498032
   26.03603604    0.02475077
   26.07607608    0.02451123
   26.11611612    0.02425706
   26.15615616    0.02398484
   26.19619620    0.02369268
   26.23623624    0.02338044
   26.27627628    0.02304962
   26.31631632    0.02270306
   26.35635636    0.02234455
   26.39639640    0.02197824
   26.43643644    0.02160818
   26.47647648    0.02123793
   26.51651652    0.02087030
   26.55655656    0.02050726
   26.59659660    0.02015000
   26.63663664    0.01979904
   26.67667668    0.01945449
   26.71671672    0.01911616
   26.75675676    0.01878383
   26.79679680    0.01845730
   26.83683684    0.01813649
   26.87687688    0.01782146
   26.91691692    0.01751240
   26.95695696    0.01720958
   26.99699700    0.01691330
   27.03703704    0.01662386
   27.07707708    0.01634150
   27.11711712    0.01606637
   27.15715716    0.01579852
   27.19719720    0.01553786
   27.23723724    0.01528423
   27.27727728    0.01503742
   27.31731732    0.01479720
   27.35735736    0.01456338
   27.39739740    0.01433588
   27.43743744    0.01411476
   27.47747748    0.01390020
   27.51751752    0.01369258
   27.55755756    0.01349235
   27.59759760    0.01330011
   27.63763764    0.01311647
   27.67767768    0.01294205
   27.71771772    0.01277744
   27.75775776    0.01262313
   27.79779780    0.01247949
   27.83783784    0.01234672
   27.87787788    0.01222488
   27.91791792    0.01211382
   27.95795796    0.01201324
   27.99799800    0.01192265
   28.03803804    0.01184143
   28.07807808    0.01176887
   28.11811812    0.01170417
   28.15815816    0.01164650
   28.19819820    0.01159508
   28.23823824    0.01154917
   28.27827828    0.01150813
   28.31831832    0.01147145
   28.35835836    0.01143875
   28.39839840    0.01140980
   28.43843844    0.01138448
   28.47847848    0.01136276
   28.51851852    0.01134470
   28.55855856    0.01133037
   28.59859860    0.01131989
   28.63863864    0.01131338
